,index,year,exporter,importer,product,value,quantity
279,174102,2022,AUS,PNG,780419,13.056,1.496
280,174103,2022,AUS,PNG,780600,4.597,
281,174637,2022,AUS,PNG,850710,474.957,156.546
282,174638,2022,AUS,PNG,850720,385.905,86.083
283,175729,2022,AUS,PER,780600,0.042,
284,175967,2022,AUS,PER,850720,0.927,0.006
285,177211,2022,AUS,PHL,780110,19580.669,9007.2
286,177212,2022,AUS,PHL,780191,6908.787,3031.67
287,177213,2022,AUS,PHL,780200,11864.854,9725.746
288,177214,2022,AUS,PHL,780411,8.782,0.454
289,177215,2022,AUS,PHL,780419,8.845,0.209
290,177216,2022,AUS,PHL,780420,7975.38,5817.842
291,177524,2022,AUS,PHL,850720,48.231,10.759
292,178633,2022,AUS,POL,780200,2301.835,1368.827
293,178871,2022,AUS,POL,850710,0.147,0.006
294,180201,2022,AUS,PRT,850720,102.477,53.193
295,181128,2022,AUS,TLS,850710,10.49,3.457
296,181821,2022,AUS,QAT,850720,247.198,55.142
297,182617,2022,AUS,RUS,282410,8.646,2.0
298,183047,2022,AUS,SAU,282410,61.291,14.0
299,183603,2022,AUS,SAU,850720,9.363,2.089
300,183856,2022,AUS,SEN,282410,58.664,20.0
301,184123,2022,AUS,SEN,780411,0.15,0.01
302,184322,2022,AUS,SEN,850710,0.004,0.001
303,184805,2022,AUS,SRB,850710,0.444,0.017
304,185334,2022,AUS,IND,282490,8.749,1.0
305,186311,2022,AUS,IND,780110,3959.349,1744.126
306,186312,2022,AUS,IND,780199,12195.609,4893.887
307,186313,2022,AUS,IND,780200,12335.344,4673.927
308,186314,2022,AUS,IND,780420,918.21,864.165
309,186315,2022,AUS,IND,780600,51.256,
310,186707,2022,AUS,IND,850710,6.061,1.965
311,186708,2022,AUS,IND,850720,18.97,3.729
312,186888,2022,AUS,IND,854911,2387.83,1478.061
313,189261,2022,AUS,SGP,780110,338.683,128.681
314,189262,2022,AUS,SGP,780200,10113.681,10280.3
315,189263,2022,AUS,SGP,780600,8.393,0.01
316,189768,2022,AUS,SGP,850710,51.443,13.039
317,189769,2022,AUS,SGP,850720,198.789,34.08
318,192586,2022,AUS,VNM,780110,21179.508,9252.798
319,192587,2022,AUS,VNM,780199,20306.467,6204.807
320,192588,2022,AUS,VNM,780420,0.119,0.009
321,192589,2022,AUS,VNM,780600,4.42,
322,194270,2022,AUS,ZAF,260700,0.001,0.05
323,195366,2022,AUS,ZAF,780600,46.263,1.965
324,195805,2022,AUS,ZAF,850710,6.581,2.002
325,195806,2022,AUS,ZAF,850720,14.938,3.815
326,196548,2022,AUS,ESP,260700,0.097,0.001
327,196582,2022,AUS,ESP,282410,61.871,20.186
328,197333,2022,AUS,ESP,780200,364.824,253.837
329,199504,2022,AUS,SWE,850710,0.353,0.115
330,199505,2022,AUS,SWE,850720,8.039,1.793
331,201182,2022,AUS,CHE,850710,0.789,0.104
332,202098,2022,AUS,THA,260700,2660.582,5361.51
333,202141,2022,AUS,THA,282410,72.021,20.96
334,203506,2022,AUS,THA,780110,9331.038,4545.048
335,203507,2022,AUS,THA,780200,7583.034,1800.915
336,203508,2022,AUS,THA,780411,17.033,95.243
337,203509,2022,AUS,THA,780419,0.466,0.016
338,203510,2022,AUS,THA,780600,0.11,0.01
339,203989,2022,AUS,THA,850710,6.066,1.422
340,203990,2022,AUS,THA,850720,26.897,4.065
341,205486,2022,AUS,ARE,282410,41.731,12.0
342,205651,2022,AUS,ARE,381111,48.528,18.818
343,206502,2022,AUS,ARE,780419,1.276,0.067
344,206868,2022,AUS,ARE,850720,1.686,0.523
345,207511,2022,AUS,TUR,260700,1.69,0.084
346,207529,2022,AUS,TUR,282410,106.094,39.284
347,208222,2022,AUS,TUR,780600,6.62,0.288
348,209816,2022,AUS,EGY,780110,11.5,3.0
349,209817,2022,AUS,EGY,780199,13.488,7.026
350,209818,2022,AUS,EGY,780411,0.666,0.02
351,210054,2022,AUS,EGY,850710,0.839,0.277
352,210055,2022,AUS,EGY,850720,8.909,2.078
353,211729,2022,AUS,GBR,780199,317453.814,135053.42
354,211730,2022,AUS,GBR,780600,2.467,0.054
355,212186,2022,AUS,GBR,850720,1.008,0.042
356,212388,2022,AUS,GBR,854911,1.795,1.984
357,212843,2022,AUS,TZA,282410,1.596,1.0
358,212844,2022,AUS,TZA,282490,9.618,2.0
359,213254,2022,AUS,TZA,780411,0.937,0.023
360,213255,2022,AUS,TZA,780419,0.239,1.0
361,213519,2022,AUS,TZA,850710,0.552,0.52
362,214236,2022,AUS,USA,282410,343.007,66.926
363,215805,2022,AUS,USA,780110,242146.012,103230.083
364,215806,2022,AUS,USA,780191,379.142,128.311
365,215807,2022,AUS,USA,780199,1445.12,539.703
366,215808,2022,AUS,USA,780411,7.791,0.019
367,215809,2022,AUS,USA,780600,27.778,1.036
368,216400,2022,AUS,USA,850710,52.193,14.573
369,216401,2022,AUS,USA,850720,354.249,28.707
370,217109,2022,AUS,BFA,282410,47.986,16.585
371,217385,2022,AUS,BFA,780411,1.8,0.03
372,217599,2022,AUS,BFA,850710,34.832,3.666
373,217600,2022,AUS,BFA,850720,0.341,0.076
374,218679,2022,AUS,WSM,850720,1.967,0.439
375,220602,2022,AUT,ALB,850710,420.501,140.326
376,220603,2022,AUT,ALB,850720,0.077,0.004
377,221992,2022,AUT,AND,850710,0.181,0.011
378,222381,2022,AUT,AGO,850720,1.653,0.024
379,222674,2022,AUT,AZE,282410,0.071,0.015
380,223530,2022,AUT,AZE,850710,100.856,32.381
381,223531,2022,AUT,AZE,850720,1.886,0.071
382,224175,2022,AUT,ARG,780600,0.027,0.004
383,224427,2022,AUT,ARG,850710,0.44,0.018
384,224428,2022,AUT,ARG,850720,0.209,0.036
385,225830,2022,AUT,AUS,780600,0.104,0.014
386,226260,2022,AUT,AUS,850710,237.367,84.663
387,226261,2022,AUT,AUS,850720,26.325,8.724
388,227718,2022,AUT,BHR,780600,0.023,0.003
389,227960,2022,AUT,BHR,850710,61.333,14.813
390,227961,2022,AUT,BHR,850720,0.803,0.023
391,229564,2022,AUT,ARM,850710,214.312,49.977
392,229565,2022,AUT,ARM,850720,1.631,0.025
393,229936,2022,AUT,BRB,850720,3.262,0.002
394,232126,2022,AUT,BEL,780110,31.825,3.671
395,232127,2022,AUT,BEL,780199,0.014,0.006
396,232128,2022,AUT,BEL,780420,24.914,52.307
397,232129,2022,AUT,BEL,780600,86.276,31.954
398,232629,2022,AUT,BEL,850710,362.518,100.799
399,232630,2022,AUT,BEL,850720,28.528,4.185
400,233646,2022,AUT,BOL,780600,0.026,0.003
401,233832,2022,AUT,BOL,850710,0.198,0.01
402,233833,2022,AUT,BOL,850720,3.995,0.16
403,234273,2022,AUT,BIH,282410,1.583,0.04
404,235771,2022,AUT,BIH,780110,0.497,0.003
405,235772,2022,AUT,BIH,780419,8.855,1.7
406,235773,2022,AUT,BIH,780600,7.126,0.921
407,236273,2022,AUT,BIH,850710,621.016,169.777
408,236274,2022,AUT,BIH,850720,21.792,0.401
409,238011,2022,AUT,BRA,780600,0.56,0.004
410,238420,2022,AUT,BRA,850710,1762.782,540.611
411,238421,2022,AUT,BRA,850720,45.958,7.462
412,241383,2022,AUT,BGR,780200,8.957,4.508
413,241384,2022,AUT,BGR,780600,0.39,0.025
414,241887,2022,AUT,BGR,850710,1691.612,531.434
415,241888,2022,AUT,BGR,850720,35.478,6.512
416,242091,2022,AUT,BGR,854911,737.443,737.462
417,242750,2022,AUT,MMR,850720,0.671,0.19
418,242982,2022,AUT,BDI,850720,3.262,0.002
419,243652,2022,AUT,BLR,850710,67.923,21.519
420,243653,2022,AUT,BLR,850720,27.352,4.655
421,244153,2022,AUT,KHM,850710,1.751,0.09
422,244484,2022,AUT,CMR,850710,36.986,11.986
423,246222,2022,AUT,CAN,780411,0.202,0.019
424,246223,2022,AUT,CAN,780600,2.798,0.09
425,246730,2022,AUT,CAN,850710,17431.668,5401.781
426,246731,2022,AUT,CAN,850720,504.29,112.874
427,248915,2022,AUT,CHL,780600,0.133,0.003
428,249263,2022,AUT,CHL,850710,7.695,2.84
429,249264,2022,AUT,CHL,850720,7.131,1.403
430,251067,2022,AUT,CHN,721020,5.982,1.218
431,251302,2022,AUT,CHN,780411,0.092,0.001
432,251303,2022,AUT,CHN,780600,42.892,16.459
433,251794,2022,AUT,CHN,850710,149.214,49.205
434,251795,2022,AUT,CHN,850720,90.605,24.904
435,253302,2022,AUT,COL,850710,13.638,2.518
436,253303,2022,AUT,COL,850720,18.2,0.852
437,253730,2022,AUT,COG,850710,0.874,0.025
438,254001,2022,AUT,COD,850720,1.041,0.118
439,254670,2022,AUT,CRI,850710,2.687,0.069
440,254671,2022,AUT,CRI,850720,0.176,0.06
441,256018,2022,AUT,HRV,381111,23.862,0.979
442,257505,2022,AUT,HRV,780110,14.462,4.904
443,257506,2022,AUT,HRV,780200,18.618,13.171
444,257507,2022,AUT,HRV,780419,1.163,0.565
